Number,title,Clip_Link,Start_Timestamp,End_Timestamp,Duration,question,correct_answer,incorrect_answer1,incorrect_answer2,incorrect_answer3,embed_url
4,How to Train Your Dragon,https://www.youtube.com/watch?v=CehPixdKUuE,0,1:09,1:09,What is the girl’s attitude towards the dragons?,She thinks they are monsters and they will kill her,She wants to celebrate the dragon feast with her parents,She doesn’t believe that dragons exist in real life,She loves the dragons and want to play with them,https://www.youtube.com/embed/CehPixdKUuE?start=0&end=69
4,How to Train Your Dragon,https://www.youtube.com/watch?v=CehPixdKUuE,0,1:09,1:09,What are the parents’ attitude towards the dragons?,Dragons are wonderful and they are friends,Dragons only exist in stories,Dragons are monsters and they will kill human,Dragons are huge and they can fly,https://www.youtube.com/embed/CehPixdKUuE?start=0&end=69
4,How to Train Your Dragon,https://www.youtube.com/watch?v=CehPixdKUuE,0,1:09,1:09,How did the parents feel when the girl asked bunch of questions about dragons?,Awkward,calm,Happy,Sleepy,https://www.youtube.com/embed/CehPixdKUuE?start=0&end=69
4,How to Train Your Dragon,https://www.youtube.com/watch?v=CehPixdKUuE,0,1:09,1:09,What is the boy going to do?,To help his sister kill the dragons,To make friends with the dragons,To become the dragons’ dessert,To eat his dessert,https://www.youtube.com/embed/CehPixdKUuE?start=0&end=69
5,Zootopia,https://www.youtube.com/watch?v=ujncmH8YnNc,0,2:02,2:02,Which animal in the scene made the popsicle?,The elephant,The rabbit,The fox,The hippopotamus,https://www.youtube.com/embed/ujncmH8YnNc?start=0&end=122
5,Zootopia,https://www.youtube.com/watch?v=ujncmH8YnNc,0,2:02,2:02,"When the fox wanted to buy the popsicle, what was the elephant’s attitude?",The elephant didn’t want to sell the popsicle to the fox,The elephant would like to sell the popsicle with a higher price,The elephant could not sell the popsicle to the fox because it was running out of stock,The elephant was pretty happy to sell the popsicle to the fox,https://www.youtube.com/embed/ujncmH8YnNc?start=0&end=122
5,Zootopia,https://www.youtube.com/watch?v=ujncmH8YnNc,0,2:02,2:02,Why does the fox want to buy the popsicle in this store?,Because his son loves elephant and even want to be one when he grows up,Because they can only buy the red popsicle in this store,Because his son is a elephant,Because they have plenty of money and want to buy the biggest popsicle,https://www.youtube.com/embed/ujncmH8YnNc?start=0&end=122
5,Zootopia,https://www.youtube.com/watch?v=ujncmH8YnNc,0,2:02,2:02,Why did the two elephant customs popped the ice cream out?,Because they were worried about whether the ice cream is clean,Because they were happy and wanted to use this way to celebrate,Because they were sick and could not eat them all,Because they hated the shop manager and wanted to revenge,https://www.youtube.com/embed/ujncmH8YnNc?start=0&end=122
5,Zootopia,https://www.youtube.com/watch?v=ujncmH8YnNc,0,2:02,2:02,Why did the rabbit mentioned the elephant didn’t wear gloves?,Because she wanted to threaten the elephant to sell the popsicle to the fox,"Because she was an officer, and this was her job",Because she wanted to warn the customs that the food was not clean,Because she hated the elephant and wanted to shut the store down,https://www.youtube.com/embed/ujncmH8YnNc?start=0&end=122
5,Zootopia,https://www.youtube.com/watch?v=ujncmH8YnNc,0,2:02,2:02,What is the final consequence after the rabbit was involved?,"The elephant gave in, and sold the popsicle to the fox","The elephant was very happy, and gave the popsicle for free","The elephant was very angry, and didn’t want to sell the popsicle to the fox ","The elephant was very disappointing, and decided to close the store",https://www.youtube.com/embed/ujncmH8YnNc?start=0&end=122
6,Monsters vs. Aliens (2009),https://www.youtube.com/watch?v=XcgNkFuPBV8,0,1:13,1:13,Why were the people gathering here at the beginning of the scene?,For the wedding,To celebrate the Christmas,To pray in the church,For the funeral,https://www.youtube.com/embed/XcgNkFuPBV8?start=0&end=73
6,Monsters vs. Aliens (2009),https://www.youtube.com/watch?v=XcgNkFuPBV8,0,1:13,1:13,"When the boy said to the girl “You are glowing”, what did the boy mean?","The girl looked very strange, and her body was glowing ","The girl looked very ugly, and he didn’t want to marry her","The girl was very beautiful, and she was shining","The girl looked plain, and he was trying to amuse her",https://www.youtube.com/embed/XcgNkFuPBV8?start=0&end=73
6,Monsters vs. Aliens (2009),https://www.youtube.com/watch?v=XcgNkFuPBV8,0,1:13,1:13,"When the boy said to the girl “You are glowing”, what was the girl’s attitude?",The girl was very happy because the boy thought she was beautiful,"The girl was very tried, and wanted to go back home","The girl was very nervous, and wanted to stop the wedding ",The girl was quite calm,https://www.youtube.com/embed/XcgNkFuPBV8?start=0&end=73
6,Monsters vs. Aliens (2009),https://www.youtube.com/watch?v=XcgNkFuPBV8,0,1:13,1:13,How did the girl feel when she started to transform?,"She didn’t know what was going on, and she could not control herself",She was very disappointed that she wanted to become bigger in size,She was very happy because she got her revenge finally,She was very calm because she knew it was going to happen,https://www.youtube.com/embed/XcgNkFuPBV8?start=0&end=73
6,Monsters vs. Aliens (2009),https://www.youtube.com/watch?v=XcgNkFuPBV8,0,1:13,1:13,How did the other people feel when the girl started to transform?,They were panicked and wanted to run away,They were calm because they saw it before,They were disappointed and wanted to leave the church,They were excited and took photos with the girl,https://www.youtube.com/embed/XcgNkFuPBV8?start=0&end=73
6,Monsters vs. Aliens (2009),https://www.youtube.com/watch?v=XcgNkFuPBV8,0,1:13,1:13,How did the girl feel when she saw other people were running?,Nervous,Bored,Excited,calm,https://www.youtube.com/embed/XcgNkFuPBV8?start=0&end=73
7,Smurfs: The Lost Village (2017),https://www.youtube.com/watch?v=9IYFHAnqOKM,0,1:42,1:42,Why were the Smurfs running at the beginning of the scene?,To escape from the caterpillar that trying to catch them,To celebrate a festival,To have their daily exercise,To choose the fastest Smurf,https://www.youtube.com/embed/9IYFHAnqOKM?start=0&end=102
7,Smurfs: The Lost Village (2017),https://www.youtube.com/watch?v=9IYFHAnqOKM,0,1:42,1:42,How did the Smurfs feel when they were trapped?,Scared,Excited,Bored,calm,https://www.youtube.com/embed/9IYFHAnqOKM?start=0&end=102
7,Smurfs: The Lost Village (2017),https://www.youtube.com/watch?v=9IYFHAnqOKM,0,1:42,1:42,What did the caterpillar turn out to be?,Female Smurfs,A snake,Male Smurfs,A dragon,https://www.youtube.com/embed/9IYFHAnqOKM?start=0&end=102
7,Smurfs: The Lost Village (2017),https://www.youtube.com/watch?v=9IYFHAnqOKM,0,1:42,1:42,Why did the “caterpillar” want to get the female Smurf?,To have the chance to recognize with each other,To get the secret from her,To sacrifice her for their god,To eat her,https://www.youtube.com/embed/9IYFHAnqOKM?start=0&end=102
7,Smurfs: The Lost Village (2017),https://www.youtube.com/watch?v=9IYFHAnqOKM,0,1:42,1:42,How did the male Smurfs feel when the “caterpillar” took off its mask?,Curious,Disappointing,Sad,Excited,https://www.youtube.com/embed/9IYFHAnqOKM?start=0&end=102
7,Smurfs: The Lost Village (2017),https://www.youtube.com/watch?v=9IYFHAnqOKM,0,1:42,1:42,How did the female Smurfs feel when the girl they trapped recognized them?,Happy,calm,Sad,Nervous,https://www.youtube.com/embed/9IYFHAnqOKM?start=0&end=102
8,Frozen (2013),https://www.youtube.com/watch?v=tihmQmPqSdM,0:02,0:48,0:46,Why are people gathering here?,To attend the party hold by Elsa,To see Elsa’s magic power,To have their daily exercise,To attend Anna’s wedding,https://www.youtube.com/embed/tihmQmPqSdM?start=2&end=48
8,Frozen (2013),https://www.youtube.com/watch?v=tihmQmPqSdM,0:02,0:48,0:46,Why did Elsa make the ice wall?,Because Anna asked many questions and made Elsa frustrating,"Because it was very hot in the room, and they needed some ice to cool it down",Because Elsa wanted to play with Anna on the ice wall,Because Elsa thought the ice wall was very cool,https://www.youtube.com/embed/tihmQmPqSdM?start=2&end=48
8,Frozen (2013),https://www.youtube.com/watch?v=tihmQmPqSdM,0:02,0:48,0:46,What was other people’s attitudes when they saw Elsa made the ice wall?,"They thought Elsa was a monster, and they were scared",They thought Elsa was a good queen,They thought Elsa and Anna were good sisters,"They thought Elsa had magic, and they were very impressed",https://www.youtube.com/embed/tihmQmPqSdM?start=2&end=48
8,Frozen (2013),https://www.youtube.com/watch?v=tihmQmPqSdM,0:02,0:48,0:46,How did Anna feel when Elsa made the ice wall?,She was curious and worried about Elsa,She was excited to see the ice wall,She didn’t care about Elsa,She was quite calm,https://www.youtube.com/embed/tihmQmPqSdM?start=2&end=48
8,Frozen (2013),https://www.youtube.com/watch?v=tihmQmPqSdM,0:02,0:48,0:46,Why did Elsa run away?,Because she felt guilty since she didn’t control the power,Because she wanted to tell the good news to her parents,Because she wanted to pass the queen to Anna,"Because she was so tired, and wanted to take a nap",https://www.youtube.com/embed/tihmQmPqSdM?start=2&end=48
8,Frozen (2013),https://www.youtube.com/watch?v=tihmQmPqSdM,0:02,0:48,0:46,"From this scene, what is Elsa’s personality?",Cautious,Outgoing,Patient,Sociable,https://www.youtube.com/embed/tihmQmPqSdM?start=2&end=48
9,Coco,https://www.youtube.com/watch?v=q7Obu80cOt4,0:04,1:31,1:27,What is true for the relationship between the boy and mama Coco?,Mama Coco cannot remember the boy’s name,Mama Coco cannot eat any fruits,The boy doesn’t want to talk with Mama Coco,The boy doesn’t want to stay with Mama Coco,https://www.youtube.com/embed/q7Obu80cOt4?start=4&end=91
9,Coco,https://www.youtube.com/watch?v=q7Obu80cOt4,0:04,1:31,1:27,What is the relationship between mama Coco and the boy’s grandma?,Mother and daughter,Cousins,Best friends,Sisters,https://www.youtube.com/embed/q7Obu80cOt4?start=4&end=91
9,Coco,https://www.youtube.com/watch?v=q7Obu80cOt4,0:04,1:31,1:27,Why did the grandma interrupt the boy during the meal?,Because she wanted the boy to finish the meal,Because she didn’t want the boy talk with mama Coco,Because she wanted mama Coco to eat first,Because she wanted the boy to sing a song before the meal,https://www.youtube.com/embed/q7Obu80cOt4?start=4&end=91
9,Coco,https://www.youtube.com/watch?v=q7Obu80cOt4,0:04,1:31,1:27,What does the grandma’s think of music?,She doesn’t allow any music in or near the house,"She is a musician, and she loves music",She wants the body to become a musician,"She doesn’t like music, but allow the boy to learn some music",https://www.youtube.com/embed/q7Obu80cOt4?start=4&end=91
9,Coco,https://www.youtube.com/watch?v=q7Obu80cOt4,0:04,1:31,1:27,What does the boy think of music?,He loves music,He hates music,He doesn’t like music because he’s not allowed to play,He has no feeling about music,https://www.youtube.com/embed/q7Obu80cOt4?start=4&end=91
9,Coco,https://www.youtube.com/watch?v=q7Obu80cOt4,0:04,1:31,1:27,"From this scene, what is the boy’s personality?",Sociable,Cautious,Dominant,Thoughtful,https://www.youtube.com/embed/q7Obu80cOt4?start=4&end=91
10,Storks (2016),https://www.youtube.com/watch?v=kzZQYnvw-6E,0,1:18,1:18,What were the wolves doing at the beginning of the scene?,Fighting to see who can eat the baby,Solving math problems with alpha and beta,Fighting to become the leader of their group,Fighting to see who will die today,https://www.youtube.com/embed/kzZQYnvw-6E?start=0&end=78
10,Storks (2016),https://www.youtube.com/watch?v=kzZQYnvw-6E,0,1:18,1:18,Why did the two leading wolves stop fighting with each other?,The baby laughed,Because they decided to fight outside,Because they decided to eat the baby,Because one of them already lost,https://www.youtube.com/embed/kzZQYnvw-6E?start=0&end=78
10,Storks (2016),https://www.youtube.com/watch?v=kzZQYnvw-6E,0,1:18,1:18,How did the other wolves feel when the baby laughed?,Happy,Sad,Nervous,Angry,https://www.youtube.com/embed/kzZQYnvw-6E?start=0&end=78
10,Storks (2016),https://www.youtube.com/watch?v=kzZQYnvw-6E,0,1:18,1:18,"When the two leading wolves said they would devour the baby, what did they mean?",They were bluffing and they wouldn’t actually hurt the baby,They were going to devour the baby,They were going to continue fighting and eat the baby,They were going to eat the baby gently,https://www.youtube.com/embed/kzZQYnvw-6E?start=0&end=78
10,Storks (2016),https://www.youtube.com/watch?v=kzZQYnvw-6E,0,1:18,1:18,What did the wolves decide to do at the end?,They decided that the baby was one of them and they would protect it,They decided to give the baby back to the parents,They would eat the baby together,"They would kill the baby, and use it to decorate their home",https://www.youtube.com/embed/kzZQYnvw-6E?start=0&end=78
10,Storks (2016),https://www.youtube.com/watch?v=kzZQYnvw-6E,0,1:18,1:18,What are the other wolves’ attitude towards the decision?,Agree,Swing,No opinion,Disagree,https://www.youtube.com/embed/kzZQYnvw-6E?start=0&end=78
11,Hotel Transylvania 2,https://www.youtube.com/watch?v=KozzQVE3ZRI,0:11,0:47,0:36,How did the girl feel when she could choose from all kinds of chips?,Happy and excited,Worried,Calm,Sad,https://www.youtube.com/embed/KozzQVE3ZRI?start=11&end=47
11,Hotel Transylvania 2,https://www.youtube.com/watch?v=KozzQVE3ZRI,0:11,0:47,0:36,"When the boy said “I don’t know if we have time”, what did he mean?",He didn’t know whether the time was enough to try all flavors of slurpee,He wanted to try all 48 flavors but was worried about time,He didn’t know when the store would be closed,He wanted to go home to sleep,https://www.youtube.com/embed/KozzQVE3ZRI?start=11&end=47
11,Hotel Transylvania 2,https://www.youtube.com/watch?v=KozzQVE3ZRI,0:11,0:47,0:36,How did the girl feel when she knew the store opens all night?,Very Excited,Disappointed,Calm,Exhausted,https://www.youtube.com/embed/KozzQVE3ZRI?start=11&end=47
11,Hotel Transylvania 2,https://www.youtube.com/watch?v=KozzQVE3ZRI,0:11,0:47,0:36,How did the boy feel when he knew the store opens all night?,Calm,Sad,Angry,Excited,https://www.youtube.com/embed/KozzQVE3ZRI?start=11&end=47
11,Hotel Transylvania 2,https://www.youtube.com/watch?v=KozzQVE3ZRI,0:11,0:47,0:36,What is the operation hour of the store?,24/7,8:00am-10:00pm,Only at night,Only on weekdays,https://www.youtube.com/embed/KozzQVE3ZRI?start=11&end=47
11,Hotel Transylvania 2,https://www.youtube.com/watch?v=KozzQVE3ZRI,0:11,0:47,0:36,"From this scene, what is the cashier’s personality?",Patient,Outgoing,Aggressive,Brave,https://www.youtube.com/embed/KozzQVE3ZRI?start=11&end=47
12,Incredibles 2,https://www.youtube.com/watch?v=h5lJTcChkoA,1:35,3:01,1:05,What were they doing at the beginning of the scene?,The baby wanted to show off his super power,The racoon wanted to eat the baby,The baby wanted to kill the racoon,They were playing with each other for fun,https://www.youtube.com/embed/h5lJTcChkoA?start=95&end=181
12,Incredibles 2,https://www.youtube.com/watch?v=h5lJTcChkoA,1:35,3:01,1:05,Why did the baby use the laser to cut down the umbrella stand?,Because he wanted to get the racoon down,Because he didn’t like the current umbrella,Because he wanted to wake his father up,Because he wanted to destroy the backyard,https://www.youtube.com/embed/h5lJTcChkoA?start=95&end=181
12,Incredibles 2,https://www.youtube.com/watch?v=h5lJTcChkoA,1:35,3:01,1:05,How did the father feel when he saw the baby flighting with the racoon?,Worried,Calm,Proud,Sad,https://www.youtube.com/embed/h5lJTcChkoA?start=95&end=181
12,Incredibles 2,https://www.youtube.com/watch?v=h5lJTcChkoA,1:35,3:01,1:05,How did the racoon feel when the baby’s father showed up?,Relieved,Worried,Calm,Sad,https://www.youtube.com/embed/h5lJTcChkoA?start=95&end=181
12,Incredibles 2,https://www.youtube.com/watch?v=h5lJTcChkoA,1:35,3:01,1:05,How did the father feel when he saw the baby using power?,Proud,Worried,Calm,Sad,https://www.youtube.com/embed/h5lJTcChkoA?start=95&end=181
12,Incredibles 2,https://www.youtube.com/watch?v=h5lJTcChkoA,1:35,3:01,1:05,How did the baby feel when the father knew his power?,Happy and excited,Worried,Calm,Sad,https://www.youtube.com/embed/h5lJTcChkoA?start=95&end=181
13,The Croods,https://www.youtube.com/watch?v=dP94CPkCmVU,0,0:49,0:49,Why were they screaming at the beginning of the scene?,Because their feet were scratched by the pointy rocks,Because their enemy buried a trip for them,Because they were hungry and going to die,Because they were excited to find a new kingdom,https://www.youtube.com/embed/dP94CPkCmVU?start=0&end=49
13,The Croods,https://www.youtube.com/watch?v=dP94CPkCmVU,0,0:49,0:49,Why did the grandma ignore the warning from the previous two guys?,Because she didn’t believe in the previous two guys,Because the rocks don’t hurt women,Because the rocks don’t hurt old people,Because she wore shoes so it wouldn’t hurt,https://www.youtube.com/embed/dP94CPkCmVU?start=0&end=49
13,The Croods,https://www.youtube.com/watch?v=dP94CPkCmVU,0,0:49,0:49,How did everybody feel when they wore the new shoes?,They were not used to wearing the shoes,They didn’t like the shoes because it hurt,They were excited to find these comfortable shoes,They didn’t believe the shoes would help,https://www.youtube.com/embed/dP94CPkCmVU?start=0&end=49
13,The Croods,https://www.youtube.com/watch?v=dP94CPkCmVU,0,0:49,0:49,Why did the boy say “good fish” when he wore them?,He didn’t want the fish to bite him,He likes fish very much,He was worried that the fish would run away,He didn’t believe that wearing shoes would work,https://www.youtube.com/embed/dP94CPkCmVU?start=0&end=49
13,The Croods,https://www.youtube.com/watch?v=dP94CPkCmVU,0,0:49,0:49,Why was the girl screaming at the end?,She was excited about the new shoes,She was shocked that she lost her feet,She felt painful because her feet hurt,She was angry at the boy because the shoes were not comfortable,https://www.youtube.com/embed/dP94CPkCmVU?start=0&end=49
13,The Croods,https://www.youtube.com/watch?v=dP94CPkCmVU,0,0:49,0:49,How did the boy feel when the girl was screaming?,He was worried about whether the shoes fit the girl,He was pretty calm like nothing happened,He was pretty happy that the girl liked the shoes,He was sad because the shoes didn’t fit,https://www.youtube.com/embed/dP94CPkCmVU?start=0&end=49
14,Flipped (2010),https://www.youtube.com/watch?v=qWGdNg5ZJUk,0,1:32,1:32,What was the boy thinking at the beginning of the scene?,He wanted the girl Julie to win the bid on him,He wanted to know what was inside the other boy Eddie’s basket,He wanted to know Eddie’s hobbies,He wanted to have lunch with the other girl Sherry,https://www.youtube.com/embed/qWGdNg5ZJUk?start=0&end=92
14,Flipped (2010),https://www.youtube.com/watch?v=qWGdNg5ZJUk,0,1:32,1:32,How did the boy feel when Julie bid on the other boy Eddie?,Confused and a little bit angry,Calm like nothing happened,Happy for Eddie,Relieved that Julie couldn’t bid on him,https://www.youtube.com/embed/qWGdNg5ZJUk?start=0&end=92
14,Flipped (2010),https://www.youtube.com/watch?v=qWGdNg5ZJUk,0,1:32,1:32,Why didn’t the boy Bryce come to the stage when he was called?,Because his mind was somewhere else,Because he was very shy,Because his leg hurt and he could not move,Because he didn’t hear the teacher at the first time,https://www.youtube.com/embed/qWGdNg5ZJUk?start=0&end=92
14,Flipped (2010),https://www.youtube.com/watch?v=qWGdNg5ZJUk,0,1:32,1:32,How did the teacher feel when Sherry bad $50 on Bryce?,Thrilled,Nervous,Sad,Calm,https://www.youtube.com/embed/qWGdNg5ZJUk?start=0&end=92
14,Flipped (2010),https://www.youtube.com/watch?v=qWGdNg5ZJUk,0,1:32,1:32,How did the boy Bryce feel when Sherry bad $50 on him?,Complicated,Excited that he could have lunch with the hottest girl in the school,Very happy that he beat the all-time record,Very angry that Julie didn’t bid on him,https://www.youtube.com/embed/qWGdNg5ZJUk?start=0&end=92
14,Flipped (2010),https://www.youtube.com/watch?v=qWGdNg5ZJUk,0,1:32,1:32,How did the girl Julie feel when Sherry bad $50 on Bryce?,Disappointed that she was not the one to win the bid,Happy for both of them,Angry that she didn’t have enough money,Calm like nothing happened,https://www.youtube.com/embed/qWGdNg5ZJUk?start=0&end=92
15,Friends Season 2,https://www.youtube.com/watch?v=DkSMrI86NWk,0,1:00,1:00,"What happened between Joey, Chandler and Richard?","They had lunch together, and just got back ",They bought a car together,Joey and Chandler stole Richard’s money,Joey and Chandler made a fool of Richard,https://www.youtube.com/embed/DkSMrI86NWk?start=0&end=60
15,Friends Season 2,https://www.youtube.com/watch?v=DkSMrI86NWk,0,1:00,1:00,How did Joey and Chandler feel about Richard?,They liked Richard and thought he was very cool,They didn’t like Richard since he was rich,They didn’t like Richard because he didn’t bought them the car,They had no feeling about Richard because they just knew him,https://www.youtube.com/embed/DkSMrI86NWk?start=0&end=60
15,Friends Season 2,https://www.youtube.com/watch?v=DkSMrI86NWk,0,1:00,1:00,How did Richard’s girlfriend feel when Joey and Chandler talked about Richard?,Happy,Awkward,Calm,Angry,https://www.youtube.com/embed/DkSMrI86NWk?start=0&end=60
15,Friends Season 2,https://www.youtube.com/watch?v=DkSMrI86NWk,0,1:00,1:00,"When Chandler said “I think they get it”, what does he mean? ",He thought their friend already got the idea,He didn’t want to talk with Joey anymore,He was very hungry and wanted to eat dinner immediately,He didn’t like Joey,https://www.youtube.com/embed/DkSMrI86NWk?start=0&end=60
15,Friends Season 2,https://www.youtube.com/watch?v=DkSMrI86NWk,0,1:00,1:00,How did Joey and Chandler feel when Richard arrived?,Excited,Upset,Nervous,Calm,https://www.youtube.com/embed/DkSMrI86NWk?start=0&end=60
15,Friends Season 2,https://www.youtube.com/watch?v=DkSMrI86NWk,0,1:00,1:00,"When Richard arrived, why did Joey give him the money?",To show that he already knew the tips trick,To return Richard’s money back,To give Richard the tips for parking,To let Richard buy him the dinner,https://www.youtube.com/embed/DkSMrI86NWk?start=0&end=60
16,The Devil Wears Prada,https://www.youtube.com/watch?v=t4isatjZ0BM,0,2:48,2:48,What is the relationship between Emily and Miranda?,Emily is Miranda’s first assistant,Emily is Miranda’s second assistant,Emily is Miranda’s daughter,Emily is Miranda’s boss,https://www.youtube.com/embed/t4isatjZ0BM?start=0&end=168
16,The Devil Wears Prada,https://www.youtube.com/watch?v=t4isatjZ0BM,0,2:48,2:48,Why did Emily panic when she got the text?,Because Miranda was going back earlier than planned,Because Miranda was going to fire her,Because Emily’s boyfriend dumped her,Because Emily’s mother was in danger,https://www.youtube.com/embed/t4isatjZ0BM?start=0&end=168
16,The Devil Wears Prada,https://www.youtube.com/watch?v=t4isatjZ0BM,0,2:48,2:48,What does Emily think of Andrea?,"Hopeless, and knows nothing about fashion",Energetic,Smart and hard-working,Ugly and fat,https://www.youtube.com/embed/t4isatjZ0BM?start=0&end=168
16,The Devil Wears Prada,https://www.youtube.com/watch?v=t4isatjZ0BM,0,2:48,2:48,Why did Miranda want to interview Andrea?,"Because Emily messed up with the previous interviews, so Miranda wanted to interview Andrea by herself",Because Andrea is a fashion girl,Because Andrea is smart,Because Miranda needed an assistant urgently,https://www.youtube.com/embed/t4isatjZ0BM?start=0&end=168
16,The Devil Wears Prada,https://www.youtube.com/watch?v=t4isatjZ0BM,0,2:48,2:48,How did Miranda feel about Andrea at the end of the scene?,She was interested in Andrea,She wanted Andrea to get out of there,She didn’t want to talk with Andrea,She didn’t believe Andrea could be a good assistant,https://www.youtube.com/embed/t4isatjZ0BM?start=0&end=168
