
incorrect,He needs help with homework.
question-tags

question-text,What is Morty thinking when his dad mentions crayons?
incorrect,He is glad his dad wants to help.
incorrect,He thinks his dad is smart
correct,He considers his dad incompetent.
incorrect,He thinks he will do well with the science project.
question-tags

question-text,What might the dad think if Morty did not choose him to help?
correct,That he’s incompetent and not respected by Morty.
incorrect,He is intimidated by his genius
incorrect,He respects him so much he can't bear to be around him
incorrect,That Morty thinks he is good at science.
question-tags

question-text,What was the purpose of the robot Rick made?
incorrect,To make breakfast
incorrect,To prepare food.
correct,To pass butter.
incorrect,To help with the science project.
question-tags

question-text,Why did Morty end up choosing his dad to help him with the science project?
correct,Because Morty's dad was insecure.
incorrect,He liked his dad better.
incorrect,Because Rick told him to.
incorrect,He felt his dad was better at science.
question-tags

question-text,Why did Morty first ask Rick for help instead of his dad?
correct,He thought he was more competent and therefore more helpful.
incorrect,He liked Rick better.
incorrect,Rick owes Morty a favor.
incorrect,Rick loves to help Morty.
question-tags

question-text,What might the other family members think about Rick being rude to Summer?
incorrect,Rick has bad table manners.
correct,The others may consider Rick unpleasant for not contributing to the family.
incorrect,He was rude by being on the phone
incorrect,They think he is cool.
question-tags

end of quiz

clip-title,The Secret Life of Pets - the Best of Chloe
description
thumbnail
img
src,https://www.youtube.com/embed/YdroO0omUfg?start=7&end=38
clip-tags

question-text,What did the cat want from the fridge?
incorrect,She wanted orange juice.
correct,The roast chicken/turkey
incorrect,A can of tuna.
incorrect,The cat wanted the milk carton.
question-tags

question-text,Why did Chloe slap away her food dish?
correct,She didn't like eating cat food
incorrect,She did it by accident.
incorrect,Chloe was angry at her owner.
incorrect,Chloe wanted to move it to a different location.
question-tags

question-text,Why does Chloe keep opening and closing the door?
incorrect,She is having trouble keeping it open.
correct,She is fighting the temptation to eat the turkey as she knows she might get in trouble for eating it.
incorrect,Chloe was testing the door for squeaky hinges.
incorrect,She likes watching the light turn on and off.
question-tags

end of quiz

clip-title,Harry Potter and the Chamber of Secrets - Harry's first time at the Weasley's home (HD)
description
thumbnail
img
src,https://www.youtube.com/embed/ZUl4amon00E?start=129&end=163
clip-tags

question-text,How did the boys react when the father began to scold them?
incorrect,They started crying and begging for forgiveness.
incorrect,They got defensive
incorrect,They jumped up from the table and ran outside.
correct,The boys looked understandingly at each other and looked down in pretended embarrassment.
question-tags

question-text,Is the father really upset about the boys flying the car?
correct,The father was not upset but had to comply with his wife’s position of scolding the kids.
incorrect,"No, he found a lot of humor in the incident."
incorrect,He was embarrassed that he raised a bad driver.
incorrect,Yes. He grounds the boys for a month as a punishment.
question-tags

question-text,What is the name of the boy with glasses?
incorrect,Voldermort
correct,Harry Potter
incorrect,Sam
incorrect,Timmy
question-tags

question-text,Where did the boys go in the car last night?
incorrect,The boys went to chamber of secrets.
incorrect,The boys went to Hogwarts.
correct,The boys went to Surrey.
incorrect,they went to London
question-tags

question-text,Where does the scene take place in the clip?
incorrect,in the living room.
correct,"The scene takes place at a dining room table, in a kitchen."
incorrect,the bathroom.
incorrect,The scene takes place at Hogawarts.
question-tags

question-text,Who comes in and sits down at the table?
incorrect,Ron's brother
incorrect,Ron's father
correct,Harry Potter
incorrect,Ron's mom
question-tags

question-text,Why did the boys react to their father’s scolding with a silent laugh?
incorrect,Because they were making funny faces.
correct,Because they knew the father was not serious about his disapproval.
incorrect,They were distracted and were cracking jokes.
incorrect,Because they thought the dad was being funny.
question-tags

question-text,Why did the mother hit the father on the arm?
incorrect,Because he was rude to her.
incorrect,Because she was angry at him for making bad jokes
correct,The mother hit the father on the arm because he acted as if he approved of the boys flying the car to Surrey.
incorrect,Because she was mad that he was late
question-tags

question-text,Why does Harry Potter apologize to the dad?
correct,Because he hasn’t introduced himself right away.
incorrect,because he said something rude
incorrect,Because he needed to use the restroom
incorrect,Because he burped.
question-tags

end of quiz

clip-title,A Joy Story
description
thumbnail
img
src,https://www.youtube.com/embed/iR-JFks6uI0?start=40&end=80
clip-tags

question-text,Why did the dog stop barking the second time?
correct,It remembered the human telling it to be quiet
incorrect,The bird hissed at it.
incorrect,The fisherman told it to be quiet again.
incorrect,The bird was already gone again.
question-tags

question-text,What does the fisherman do when he hears the dog?
incorrect,He ignores the dog.
incorrect,He pets the dog
correct,He shushes the dog
incorrect,He feeds the dog
question-tags

question-text,What does the dog do when first seeing the bird?
incorrect,The dog chases the bird.
correct,The dog growls and barks.
incorrect,The dog runs away.
incorrect,The dog tries to eat the bird.
question-tags

question-text,What did the bird pick up?
correct,The bird picked up a worm.
incorrect,The bird picked up a frog.
incorrect,The bird picked up the dog
incorrect,The bird picked up the fisherman's sandwich
question-tags

question-text,Why did the owner shush the dog?
incorrect,Because he didn't want the bird to get scared.
correct,Because the owner is trying to fish and the dog's barks might scare away the fish.
incorrect,Because the owner was on the phone
incorrect,Because the owner did not to wake up the neighbors
question-tags

question-text,Why did the bird come back?
incorrect,The bird comes back to steal a fish.
correct,The bird comes back to get another worm.
incorrect,The bird came back to play with the dog
incorrect,The bird comes back to grab the dog.
question-tags

question-text,Why does the bird steal a worm?
incorrect,The bird wanted to go fishing.
incorrect,The bird wanted to stop the fisherman from catching fish.
incorrect,The bird wanted to set the worm free.
correct,The bird wanted something to eat.
question-tags

end of quiz

clip-title,Big Fish
description
thumbnail
img
src,https://www.youtube.com/embed/IdEekLJJc0o?start=0&end=90
clip-tags

question-text,Why has Edward spent so much time looking for the girl?
incorrect,She has something of his.
correct,He finds her attractive and wants to marry her.
incorrect,She is a long-lost family member.
incorrect,He knew her when they were younger.
question-tags

question-text,What might Edward Bloom do next?
incorrect,He might refuse to leave.
incorrect,He will marry her.
correct,He may move on but will never forget this woman.
incorrect,He will laugh happily.
question-tags

question-text,Why is Edward Bloom sad at the end?
incorrect,The woman tells him it's not her that he's looking for.
incorrect,He is kicked out by the woman.
correct,The woman reveals that she is already engaged to be married.
incorrect,He stumbles and falls and hurts himself.
question-tags

question-text,Why is the girl sorry?
correct,She is sorry because she can't marry him and Edward had to endure all the trouble to find her.
incorrect,She is sorry because she didn't come searching for him.
incorrect,She is sorry because she'd rather marry Edward.
incorrect,She is sorry because her family will disapprove of him.
question-tags

question-text,Why does the woman say she can't marry Edward Bloom?
incorrect,She is not attracted to Edward.
correct,The woman is already engaged to be married to someone else
incorrect,She thinks it's creepy that he's been looking for her.
incorrect,She says she's never getting married because she doesn't believe in it.
question-tags

question-text,Which town does Edward Bloom come from?
correct,He comes from Ashton.
incorrect,He comes from NewYork City
incorrect,He comes from a foreign island
incorrect,He comes from Alberta.
question-tags

question-text,What is the woman wearing on her hand?
incorrect,She is wearing her new gloves.
incorrect,She is wearing Edward's friendship ring.
incorrect,She is wearing nothing on her hand.
correct,She is wearing a wedding ring.
question-tags

question-text,What has Edward spent the last three years trying to do?
incorrect,He's been searching for his father.
incorrect,He has been trying to make the football team.
correct,He has been trying to find out who the woman is.
incorrect,He has been looking for a new job.
question-tags

end of quiz

clip-title,Christopher Robin
description
thumbnail
img
src,https://www.youtube.com/embed/hdehfqahwkI?start=0&end=63
clip-tags

question-text,What was Pooh standing on in the clip?
incorrect,A drinking fountain.
incorrect,A trash bin.
correct,A park bench.
incorrect,The ground.
question-tags

question-text,Why does Christopher Robin touch the bear?
incorrect,He wants to see how soft he is.
incorrect,To see if he is ticklish.
incorrect,To get his attention.
correct,"To see if the bear was real, because he couldn't believe his eyes."
question-tags

question-text,Who does Christopher Robin meet?
correct,Winnie the Pooh
incorrect,Mickey Mouse
incorrect,Donald Duck
incorrect,His father
question-tags

question-text,Where does this take place (happen)?
incorrect,In a house
correct,At a park
incorrect,At the movies
incorrect,On a beach.
question-tags

question-text,Has Pooh met this person before?
incorrect,"Maybe, but Pooh doesn't remember him."
incorrect,"No, but he's heard of him."
incorrect,"Possibly, but Christopher Robin isn't sure"
correct,Yes. Judging from the level of their conversion.
question-tags

question-text,Was the man's reaction when he saw Pooh?
incorrect,He got real shy and looked away.
incorrect,He was amused.
correct,He was shocked.
incorrect,He became very angry.
question-tags

end of quiz

clip-title,Dear Alice
description
thumbnail
img
src,https://www.youtube.com/embed/phQDinMbmic?start=0&end=56
clip-tags

question-text,What instrument is the boy using to draw?
correct,The boy is using a pencil to draw.
incorrect,A paint brush.
incorrect,A pen.
incorrect,A crayon.
question-tags

question-text,Why did the little girl give a thumbs-up to the boy?
incorrect,Because he said something funny to her.
correct,Because they both share a common interest.
incorrect,To let him know this was his bus stop.
incorrect,Because she liked his shirt.
question-tags

question-text,What is the boy drawing on?
correct,The boy is drawing on a notebook.
incorrect,The boy is drawing on chalkboard.
incorrect,The boy is drawing on the wall.
incorrect,The boy is drawing on a piece of paper on a clipboard.
question-tags

question-text,What was the little girl drawing?
incorrect,The bus driver.
correct,She was drawing the man seated across from her.
incorrect,She was drawing the bus.
incorrect,She was drawing the trees outside.
question-tags

question-text,Why was the little girl sad at the end?
incorrect,Because her mom scolded her.
correct,Her mom wouldn't pay attention to her by looking at what she drew.
incorrect,Because the boy wouldn't look at her.
incorrect,Because her favorite stuffed toy got stepped on.
question-tags

question-text,Why is the man holding onto the strap?
incorrect,Because the bus is going super fast.
correct,The man is holding onto the strap to avoid falling as the bus continues to move.
incorrect,Because there are no empty seats.
incorrect,So he can do pull-ups.
question-tags

question-text,Where does the scene take place?
incorrect,On a plane.
correct,On a bus.
incorrect,At school.
incorrect,At a park.
question-tags

end of quiz

clip-title,E.T..: The Extra-Terrestrial
description
thumbnail
img
src,https://www.youtube.com/embed/ewkroL1cP_Q?start=0&end=43
clip-tags

question-text,Why was Benny upset at the table?
correct,His family didn't believe him.
incorrect,His big brother hit him.
incorrect,He was told to be quiet.
incorrect,He was denied dessert.
question-tags

question-text,What animal did one of the kids reference as being in the sewer?
incorrect,A goldfish.
incorrect,A frog.
incorrect,A dinosaur.
correct,An alligator.
question-tags

question-text,What did the boy actually see?
incorrect,A zombie
incorrect,He saw a large monster in the sewer.
correct,An alien
incorrect,A ghost
question-tags

question-text,Why don't the parents and big brother believe Benny about what he saw?
incorrect,Because Benny is too young.
correct,They thought what the boy saw was too crazy to believe.
incorrect,Because Benny lies a lot.
incorrect,Because Benny has nightmares.
question-tags

question-text,What is the little girl dressing up as for Halloween?
incorrect,A taco
incorrect,A dinosaur.
incorrect,A fairy.
correct,A cowgirl.
question-tags

question-text,What is the family doing at the table?
incorrect,They are gambling.
correct,They are eating dinner.
incorrect,They are playing Monopoly.
incorrect,They are arm wrestling.
question-tags

question-text,Why does the big brother tell Benny "maybe it was an Iguana"?
incorrect,The big brother thinks Benny is too young to know
correct,Because the big brother doesn't believe what Benny said he saw.
incorrect,Because the big brother loves iguanas
incorrect,Because Benny said it was green and iguanas are also green
question-tags

end of quiz

clip-title,Freedom Writers
description
thumbnail
img
src,https://www.youtube.com/embed/jA-BCSOaa4Q?start=0&end=60
clip-tags

question-text,Why did the principle suggest that the teachers make an arrangement?
incorrect,The principal feels it's not his responsibility to address.
incorrect,The principal likes having meetings.
incorrect,The principal has another meeting he's going to be late for.
correct,The principal wants to avoid conflict among the staff
question-tags

question-text,Why were the older teachers controntational?
correct,They felt that the young female teacher's insistence on retaining her rising students was a disregard for their seniority and privileges.
incorrect,They didn't appreciate that the younger teacher was being paid more than them despite their seniority.
incorrect,They wanted to get paid more than her because of their seniority.
incorrect,She had been trying to get them all fired.
question-tags

question-text,What program does the teacher not want to replace?
incorrect,The after school music program.
incorrect,The arts program.
incorrect,After school sports.
correct,The distinguished scholars program.
question-tags

question-text,What does the young teacher want to do?
incorrect,Teach different students next year.
incorrect,She wants her students to all get A's without taking a test.
correct,She wants to stay with her students when they rise.
incorrect,She wants to transfer to another school.
question-tags

question-text,How long has the young teacher been working at the school?
incorrect,2 months
incorrect,2 weeks
incorrect,20 years
correct,2 years
question-tags

question-text,How did the older teachers feel?
incorrect,They were glad that the new teacher was there.
correct,They were very angry.
incorrect,They were very excited.
incorrect,They were very depressed.
question-tags

question-text,What would the board of education think about the young teacher's request?
incorrect,That it was an excellent idea that should be immediately implemented.
correct,That it would be unfair to the teachers who have seniority and it would cause problems with teaching rotations.
incorrect,That it would cause confusion among the student body.
incorrect,That it would discourage students from coming to school.
question-tags

end of quiz

clip-title,Penguins of Madagascar
description
thumbnail
img
src,https://www.youtube.com/embed/P0hOTR509NQ?start=15&end=105
clip-tags

question-text,Why did the 3 little penguins get out of line?
incorrect,To go after the egg that escaped.
incorrect,To go for a swim.
incorrect,They had to go to the bathroom.
correct,To avoid getting hit by the penguins tumbling before them.
question-tags

question-text,What knocked the little penguins off of their feet?
correct,An egg rolling down the hill.
incorrect,A polar bear jumping on them.
incorrect,A tidal wave.
incorrect,The wind blew them down.
question-tags

question-text,What happened in the beginning of the clip when the penguin in the front the line fell backwards off of the step?
correct,It caused a domino effect and made the other penguins fall.
incorrect,The other penguins ran away.
incorrect,The other penguins laughed at him.
incorrect,The other penguins jumped out of the way.
question-tags

question-text,Why did the little penguin decide to slide towards the edge of the cliff?
incorrect,He tripped and didn't mean to.
incorrect,To go and talk to a leopard seal.
correct,To save the egg
incorrect,To see how close they could get before they fell.
question-tags

question-text,Why did the little penguins try to fly in the beginning of the clip?
incorrect,They wanted to see if it could be done.
correct,They wanted to see what's happening at the front of the line.
incorrect,They wanted to show off to their friends
incorrect,They wanted to get away from a seal.
question-tags

question-text,What do you think could've happened to the square penguin if his friends didn't catch him?
incorrect,He could have caught the egg.
incorrect,The square penguin would have been caught by a tiger.
correct,That the square penguin would have fallen off the cliff.
incorrect,That the square penguin would have flown away.
question-tags

question-text,What animal are the main characters?
incorrect,Tigers
correct,Penguins
incorrect,Giraffes.
incorrect,Polar Bears.
question-tags

question-text,What item fell off the cliff and landed on the boat?
incorrect,A fish
incorrect,A snowball
correct,An egg
incorrect,Another penguin.
question-tags

end of quiz

clip-title,The Pursuit of Happiness - Rubik's Cube
description
thumbnail
img
src,https://www.youtube.com/embed/Q7Opgd7-dQ0?start=45&end=182
clip-tags

question-text,Why is Will Smith's character trying to do what he's doing?
incorrect,He wants to get an interview from the man.
correct,He wants to prove his ability to the other man.
incorrect,He wants the other man to pay for both their fare rides.
incorrect,He wants to win a bet.
question-tags

question-text,What was Will Smith's character trying to do with the object he was playing with?
incorrect,Will Smith's character was trying to open the object he was playing with.
incorrect,Will Smith's character was trying to listen to the noises of the object he was playing with.
incorrect,Will Smith's character was trying to close the object he was playing with.
correct,He was trying to solve it by matching all colors on the same side
question-tags

question-text,Why did the other man say "let me try?"
incorrect,The other man believes he would be lucky in the game
correct,The other man believes he can solve the cube himself.
incorrect,The other man believes he can win the contest on the radio
incorrect,The other man wanted to try to get an item unlocked that was jammed.
question-tags

question-text,What is Will Smith's character playing with?
incorrect,A yo-yo.
incorrect,A jigsaw puzzle.
incorrect,The power window button.
correct,A Rubik's Cube
question-tags

question-text,What does the person on the right think about what Will Smith's doing?
incorrect,He switched it with a solved cube from his pocket.
correct,He didn't think Will Smith's character would be able to solve it.
incorrect,He thought Will Smith's character would get the cab driver to help him.
incorrect,He didn't think Will Smith's character would be able to pay his cab bill.
question-tags

question-text,What did the man on the right say to Will Smith's character?
incorrect,He said "this is the easiest thing in the world."
correct,He told him "this thing is impossible"
incorrect,The man on the right told Will Smith's character that he would give him a $100 if he could solve it.
incorrect,The man on the right told Will Smith's character that he would pay for the cab cost if he could solve it.
question-tags

end of quiz

clip-title,The Pursuit of Happiness - Job Interview
description
thumbnail
img
src,https://www.youtube.com/embed/gHXKitKAT1E?start=13&end=82
clip-tags

question-text,Why did the man not lie about what happened to him to cause him to be late?
incorrect,He wanted them to believe he is not good for the job.
correct,He couldn't think of a lie which could explain his appearance.
incorrect,He wanted to appear casual and laid-back.
incorrect,He wanted them to believe he is a homeless guy.
question-tags

question-text,What was Chris Garner's excuse for being dressed in an unprofessional way?
incorrect,He had been at the farm and he didn't have enough time to dress up.
correct,He had been painting when he was arrested for unpaid parking tickets and ran all the way over to the interview.
incorrect,He wanted to be honest about who he is.
incorrect,He decided to make things casual.
question-tags

question-text,What did Chris Garner do when he entered the room?
correct,He introduced himself and shook hands with the people who were waiting.
incorrect,He waited and walked out of the room without speaking a word.
incorrect,He gave in and said he was not fitted for the job.
incorrect,He apologized for his outfit and then he introduced himself.
question-tags

question-text,How do you think the interviewers feel about the man?
incorrect,They thought he was crazy and asked him to leave.
correct,They were skeptical at first but they became impressed by his honesty.
incorrect,They shrugged him off right away.
incorrect,They were very impressed and hired him right away.
question-tags

question-text,Why was Chris Garner arrested?
incorrect,He had unpaid child support.
incorrect,He was tresspassing in the building.
incorrect,He stole some food.
correct,He was arrested for not paying parking tickets.
question-tags

question-text,Why does Chris Garner have paint on his hands?
correct,He didn't have time to go home and shower as he spent the night in jail.
incorrect,He saw a sign that said wet paint and touched it.
incorrect,He wanted to make a memorable first impression.
incorrect,He was painting his neighbors fence.
question-tags

question-text,Does the man have self-confidence?
incorrect,Yes; the man dressed like that on purpose.
incorrect,No; he never spoke or looked up.
incorrect,No; he is shy and timid.
correct,"Yes. He appears firm in demeanor, attitude, and speech, despite poor dress."
question-tags

end of quiz

clip-title,Akeelah and the Bee - Intelligent & Insolent
description
thumbnail
img
src,https://www.youtube.com/embed/WdDUhHl-BzM?start=0&end=93
clip-tags

question-text,What does the man ask the girl to do?
